,city,cloud (%),country,date,humidity (%),lat,lng,max temp (F),wind (mph)
112,Cidreira,0,BR,1652046803,79,-30.1811,-50.2056,19.31,6.28
113,Marawi,96,PH,1652046804,94,7.9986,124.2928,21.36,0.5
114,Tasiilaq,99,GL,1652046804,69,65.6145,-37.6368,0.81,1.45
115,Tigre,0,AR,1652046805,64,-34.426,-58.5796,20.08,2.06
116,Jatiroto,100,ID,1652046805,92,-7.8833,111.1167,24.2,1.49
117,‘Ewa Beach,100,US,1652046806,57,21.3156,-158.0072,27.77,4.92
118,Hithadhoo,100,MV,1652046806,82,-0.6,73.0833,27.76,10.01
119,Caravelas,100,BR,1652046807,89,-17.7125,-39.2481,22.56,4.1
120,Ponta do Sol,66,PT,1652046807,74,32.6667,-17.1,17.35,3.16
121,Wanning,100,CN,1652046807,88,18.8003,110.3967,24.69,1.5
122,Bredasdorp,100,ZA,1652046808,85,-34.5322,20.0403,12.67,1.75
123,Cravo Norte,71,CO,1652046808,68,6.3017,-70.2041,28.28,1.95
124,Port Keats,0,AU,1652046809,42,-14.25,129.55,21.24,4.53
125,El Retén,29,CO,1652046809,62,10.6114,-74.2682,34.56,4.31
126,Chui,3,UY,1652046809,78,-33.6971,-53.4616,15.12,1.83
127,Meulaboh,100,ID,1652046810,88,4.1363,96.1285,25.07,1.77
128,Samoded,65,RU,1652046810,93,63.6083,40.5111,-1.04,2.26
129,Santiago,100,CL,1652046738,73,-33.4569,-70.6483,17.32,3.09
130,Sabla,99,NG,1652046811,26,12.7525,4.7077,35.24,1.85
131,Altamira,40,BR,1652046811,89,-3.2033,-52.2064,26.05,2.06
132,Bhīnmāl,0,IN,1652046811,48,25.0,72.25,28.25,3.56
133,Pangody,100,RU,1652046812,100,65.85,74.4859,1.37,4.93
134,Dingle,95,PH,1652046812,87,10.9995,122.6711,25.58,3.53
135,Manado,40,ID,1652046813,100,1.487,124.8455,25.43,0.51
